변환,원자료
2013-07-26,1117.30 
2013-07-29,1111.70 
2013-07-30,1109.40 
2013-07-31,1113.60 
2013-08-01,1119.60 
2013-08-02,1121.40 
2013-08-05,1125.40 
2013-08-06,1116.30 
2013-08-07,1114.20 
2013-08-08,1117.30 
2013-08-09,1113.60 
2013-08-12,1111.80 
2013-08-13,1113.00 
2013-08-14,1116.50 
2013-08-16,1119.50 
2013-08-19,1115.00 
2013-08-20,1113.70 
2013-08-21,1121.90 
2013-08-22,1118.10 
2013-08-23,1124.30 
2013-08-26,1118.20 
2013-08-27,1113.00 
2013-08-28,1115.80 
2013-08-29,1117.00 
2013-08-30,1110.90 
2013-09-02,1109.60 
2013-09-03,1104.10 
2013-09-04,1095.90 
2013-09-05,1099.80 
2013-09-06,1093.80 
2013-09-09,1095.40 
2013-09-10,1088.20 
2013-09-11,1084.90 
2013-09-12,1087.10 
2013-09-13,1083.20 
2013-09-16,1085.30 
2013-09-17,1082.20 
2013-09-23,1085.20 
2013-09-24,1075.90 
2013-09-25,1074.90 
2013-09-26,1076.80 
2013-09-27,1074.40 
2013-09-30,1075.60 
2013-10-01,1075.20 
2013-10-02,1074.50 
2013-10-04,1074.60 
2013-10-07,1071.60 
2013-10-08,1070.50 
2013-10-10,1073.60 
2013-10-11,1075.70 
2013-10-14,1070.50 
2013-10-15,1072.30 
2013-10-16,1067.90 
2013-10-17,1067.10 
2013-10-18,1064.40 
2013-10-21,1061.40 
2013-10-22,1062.00 
2013-10-23,1061.70 
2013-10-24,1056.50 
2013-10-25,1057.20 
2013-10-28,1062.30 
2013-10-29,1061.40 
2013-10-30,1060.90 
2013-10-31,1061.40 
2013-11-01,1059.90 
2013-11-04,1062.60 
2013-11-05,1062.10 
2013-11-06,1062.00 
2013-11-07,1062.00 
2013-11-08,1060.70 
2013-11-11,1063.50 
2013-11-12,1068.50 
2013-11-13,1070.90 
2013-11-14,1072.90 
2013-11-15,1067.30 
2013-11-18,1066.70 
2013-11-19,1060.70 
2013-11-20,1055.80 
2013-11-21,1056.30 
2013-11-22,1061.90 
2013-11-25,1061.60 
2013-11-26,1060.60 
2013-11-27,1060.30 
2013-11-28,1060.90 
2013-11-29,1062.10 
2013-12-02,1058.90 
2013-12-03,1057.70 
2013-12-04,1061.30 
2013-12-05,1061.20 
2013-12-06,1060.70 
2013-12-09,1058.20 
2013-12-10,1053.10 
2013-12-11,1052.50 
2013-12-12,1051.90 
2013-12-13,1053.50 
2013-12-16,1053.10 
2013-12-17,1052.60 
2013-12-18,1051.50 
2013-12-19,1052.10 
2013-12-20,1058.10 
2013-12-23,1061.90 
2013-12-24,1061.00 
2013-12-26,1060.40 
2013-12-27,1059.40 
2013-12-30,1055.60 
2013-12-31,1055.30 
2014-01-02,1055.30 
2014-01-03,1050.40 
2014-01-06,1054.10 
2014-01-07,1062.20 
2014-01-08,1067.90 
2014-01-09,1066.00 
2014-01-10,1064.80 
2014-01-13,1062.80 
2014-01-14,1056.50 
2014-01-15,1058.40 
2014-01-16,1062.50 
2014-01-17,1064.20 
2014-01-20,1061.00 
2014-01-21,1063.90 
2014-01-22,1064.20 
2014-01-23,1068.40 
2014-01-24,1071.90 
2014-01-27,1077.20 
2014-01-28,1084.10 
2014-01-29,1079.20 
2014-02-03,1071.10 
2014-02-04,1082.20 
2014-02-05,1086.10 
2014-02-06,1079.50 
2014-02-07,1076.40 
2014-02-10,1075.10 
2014-02-11,1071.90 
2014-02-12,1072.00 
2014-02-13,1064.70 
2014-02-14,1063.90 
2014-02-17,1061.90 
2014-02-18,1060.50 
2014-02-19,1064.10 
2014-02-20,1067.10 
2014-02-21,1071.90 
2014-02-24,1073.10 
2014-02-25,1076.30 
2014-02-26,1070.60 
2014-02-27,1069.90 
2014-02-28,1067.70 
2014-03-03,1066.20 
2014-03-04,1071.90 
2014-03-05,1072.00 
2014-03-06,1070.60 
2014-03-07,1067.40 
2014-03-10,1062.60 
2014-03-11,1065.90 
2014-03-12,1064.80 
2014-03-13,1069.20 
2014-03-14,1067.40 
2014-03-17,1072.00 
2014-03-18,1069.90 
2014-03-19,1067.90 
2014-03-20,1070.70 
2014-03-21,1075.30 
2014-03-24,1080.30 
2014-03-25,1079.70 
2014-03-26,1078.20 
2014-03-27,1075.00 
2014-03-28,1072.80 
2014-03-31,1068.80 
2014-04-01,1066.10 
2014-04-02,1060.50 
2014-04-03,1057.00 
2014-04-04,1058.10 
2014-04-07,1056.10 
2014-04-08,1053.40 
2014-04-09,1053.60 
2014-04-10,1043.20 
2014-04-11,1036.00 
2014-04-14,1037.50 
2014-04-15,1038.90 
2014-04-16,1041.20 
2014-04-17,1041.30 
2014-04-18,1037.10 
